,tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_userid
6331,1227594433669009408,2884538303,exispathi,wed feb 12 14:04:55 +0000 2020,und,"αττική, (πίσω από το nadir)",#coronavirus #antivax https://t.co/lhrdj8zn7f,original,214,11473,false,"[coronavirus, antivax]",[],wed nov 19 18:35:19 +0000 2014,[],[],
1755,1227610919326404608,1174365906153222150,gildeddata,wed feb 12 15:10:25 +0000 2020,en,up your ass and to the left,hey #antivaxx now's your chance to prove us all wrong.... go to china,original,40,5845,false,[antivaxx],[],wed sep 18 16:53:53 +0000 2019,[],[],
51206,1227620498634366977,919333118120812544,ferretsgp875,wed feb 12 15:48:29 +0000 2020,en,,"now with coronavirus all over the world and no vaccine or known cure for it, it's time for #antivaxxers to prove us all wrong and go to china. if they know they are right they shouldn't be scared of catching it, should they? they have all those essential oils they can use.",original,8,2977,false,[antivaxxers],[],sat oct 14 22:44:30 +0000 2017,[],[],
56183,1227621485981782016,773150847555416065,dr_spiel,wed feb 12 15:52:25 +0000 2020,es,"puebla, méxico","a los #antivaxx: esta es su hora, vallan a china y muestrenos que todos estamos mal, que los aceites esenciales son mucho más efectivos y seguros. 💉",original,102,14756,false,[antivaxx],[],tue sep 06 13:28:21 +0000 2016,[],[],
42354,1227618772866998273,424664120,lotusoak2,wed feb 12 15:41:38 +0000 2020,en,"nova, usa","rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,20761,11162,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",wed nov 30 01:40:51 +0000 2011,[424664120],['lotusoak2'],424664120.0
42840,1227618875040305152,1144105477216886784,kateri60270481,wed feb 12 15:42:02 +0000 2020,en,,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,2287,50375,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",thu jun 27 04:49:36 +0000 2019,[424664120],['lotusoak2'],424664120.0
56865,1227621631356334080,823648093442899970,susansaga1,wed feb 12 15:52:59 +0000 2020,en,,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,73,4744,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",mon jan 23 21:46:22 +0000 2017,[424664120],['lotusoak2'],424664120.0
59664,1227622185470173185,2970788482,thiljala,wed feb 12 15:55:11 +0000 2020,en,,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,1181,4700,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",sat jan 10 02:04:00 +0000 2015,[424664120],['lotusoak2'],424664120.0
9750,1227635761631170560,593289567,peterhotez,wed feb 12 16:49:08 +0000 2020,en,"montrose, houston tx","ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are the details.  multidose flu vials still have preservative but you can request single dose flu vaccine.   https://t.co/eiim6int79",quoted_tweet,24809,15473,false,"[antivax, flushot, thimerosal, mercury]","[{'url': 'https://t.co/eiim6int79', 'expanded_url': 'https://www.cdc.gov/mmwr/volumes/66/rr/rr6602a1.htm', 'display_url': 'cdc.gov/mmwr/volumes/6…', 'indices': [227, 250]}]",tue may 29 00:46:55 +0000 2012,[],[],
10066,1227635834112835585,1131736174853316609,pedsid4life,wed feb 12 16:49:25 +0000 2020,en,"greenville, ms",rt @peterhotez: hateful #antivax desperate to convince you not to get your flu vaccine. ignore it: follow the good people @jeromeadamsmd @s…,quoted_tweet,1178,24988,false,[antivax],[],fri may 24 01:38:25 +0000 2019,"[593289567, 488950348]","['peterhotez', 'jeromeadamsmd']",
