tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_screen,rt_userid,rt_rt_count,rt_fav_count,rt_tweetid
1274289464458858496,739163012016246785,deinzerheinrich,sat jun 20 10:34:18 +0000 2020,und,berlin,rt @qlobalchange: @realdonaldtrump #greatawakening #obamagate #wwg1wga #x22report #qanon #x22 #q https://t.co/sijqjtjav3,quoted_tweet,64,15790,false,"[greatawakening, obamagate, wwg1wga, x22report, qanon, x22, q]","[{'url': 'https://t.co/sijqjtjav3', 'expanded_url': 'https://twitter.com/inthematrixxx/status/1273800768265617409', 'display_url': 'twitter.com/inthematrixxx/…', 'indices': [97, 120]}]",sat jun 04 18:32:50 +0000 2016,"[1026960638126501889, 25073877]","['qlobalchange', 'realdonaldtrump']",,,6,16,1.2740846929507656e+18
1274289562433409024,2356854715,tg_baca,sat jun 20 10:34:41 +0000 2020,en,united states,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,173,3531,false,[qanon],[],sat feb 22 19:57:04 +0000 2014,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1042,1413,1.2741046460518113e+18
1274289879443222529,943880943554744320,s_a_patriot,sat jun 20 10:35:57 +0000 2020,en,,"#qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  https://t.co/6jokzmolv0  holy sh*t, real journalism out of canada. the nova scotia killer had ties to criminals and withdrew a huge sum of cash before the shooting",original,3817,2421,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]","[{'url': 'https://t.co/6jokzmolv0', 'expanded_url': 'https://www.macleans.ca/news/canada/the-nova-scotia-shooter-case-has-hallmarks-of-an-undercover-operation/', 'display_url': 'macleans.ca/news/canada/th…', 'indices': [114, 137]}]",thu dec 21 16:28:48 +0000 2017,[25073877],['realdonaldtrump'],,,0,0,
1274289897218510848,1156038610136600582,amenomurakumo5,sat jun 20 10:36:01 +0000 2020,ja,,"rt @okabaeri9111: よくしらんけど これって 暴力行為では? 🤔😨 #恐喝 #脅し #入店お断り　 #横浜 #稲川会 #qanon   there's another document to file for the tw case, @devinnunes s…",retweeted_tweet_without_comment,7366,40145,false,"[恐喝, 脅し, 入店お断り, 横浜, 稲川会, qanon]",[],tue jul 30 03:07:37 +0000 2019,"[1086230647100792832, 54412900]","['okabaeri9111', 'devinnunes']",okabaeri9111,1.0862306471007928e+18,90,169,1.274115767349338e+18
1274290118690570240,1180519509192515584,meme04164588,sat jun 20 10:36:54 +0000 2020,en,,rt @s_a_patriot: #qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  https://…,retweeted_tweet_without_comment,288,7119,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]",[],sat oct 05 16:26:09 +0000 2019,"[943880943554744320, 25073877]","['s_a_patriot', 'realdonaldtrump']",s_a_patriot,9.438809435547443e+17,1,0,1.2742898794432225e+18
1274290246084030464,1008176372622110720,tooranomaki6910,sat jun 20 10:37:24 +0000 2020,et,tokyo,rt @tooranomaki6910: 【potus assassination】 @q_army1 @realdonaldtrump #kag #qanon #qarmy #wwg1wga #gitmo #deepstate #nk #ww3 canada🇨🇦g7→sing…,retweeted_tweet_without_comment,8265,32167,false,"[kag, qanon, qarmy, wwg1wga, gitmo, deepstate, nk, ww3]",[],sun jun 17 02:35:53 +0000 2018,"[1008176372622110720, 630817324, 25073877]","['tooranomaki6910', 'q_army1', 'realdonaldtrump']",tooranomaki6910,1.0081763726221107e+18,167,165,1.2106555839944335e+18
1274290301352501250,1250508419372666881,daniel_aanon,sat jun 20 10:37:37 +0000 2020,en,,"amazing work😍 thank you, patriot @aqtime 🙏🏼❤️🙏🏼 @potus #trump2020nowmorethanever #wwg1wgaworldwide #qanon #godwins #patriotsunited #inittogether 👇🏼👇🏼👇🏼👇🏼👇🏼‼️‼️",quoted_tweet,897,13939,false,"[trump2020nowmorethanever, wwg1wgaworldwide, qanon, godwins, patriotsunited, inittogether]",[],wed apr 15 19:37:11 +0000 2020,"[2239685752, 822215679726100480]","['aqtime', 'potus']",,,0,0,
1274290338581143554,167336511,markyh05,sat jun 20 10:37:46 +0000 2020,en,newport isle of wight,"@cnn so he should too. good on your @vp. we're all created equal, not matter what the race baiting media tells you. crap news network, can't be better said. @realdonaldtrump, keep up the great work sir. 🇺🇸🇬🇧 #wwg1wga #trump2020 #kag2020 #demcorruption #demcollusion #truepatriot #qanon",reply,183,1106,false,"[wwg1wga, trump2020, kag2020, demcorruption, demcollusion, truepatriot, qanon]",[],fri jul 16 09:33:41 +0000 2010,"[759251, 818910970567344128]","['cnn', 'vp']",,,0,0,
1274290555221168128,943880943554744320,s_a_patriot,sat jun 20 10:38:38 +0000 2020,en,,#qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  soros-affiliated anti-deportation group part of ‘defund police’ movement  https://t.co/px50tspgge,original,3817,2421,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]","[{'url': 'https://t.co/px50tspgge', 'expanded_url': 'https://www.breitbart.com/politics/2020/06/19/soros-affiliated-anti-deportation-group-part-of-defund-police-movement/', 'display_url': 'breitbart.com/politics/2020/…', 'indices': [188, 211]}]",thu dec 21 16:28:48 +0000 2017,[25073877],['realdonaldtrump'],,,0,0,
1274290769080119296,1085044883981651968,bluelace863,sat jun 20 10:39:29 +0000 2020,ja,,"rt @okabaeri9111: よくしらんけど これって 暴力行為では? 🤔😨 #恐喝 #脅し #入店お断り　 #横浜 #稲川会 #qanon   there's another document to file for the tw case, @devinnunes s…",retweeted_tweet_without_comment,124,3397,false,"[恐喝, 脅し, 入店お断り, 横浜, 稲川会, qanon]",[],tue jan 15 05:23:54 +0000 2019,"[1086230647100792832, 54412900]","['okabaeri9111', 'devinnunes']",okabaeri9111,1.0862306471007928e+18,91,169,1.274115767349338e+18
